designation,material,thickness_mm,qty,width_mm,height_mm,area_mm2,cut_length_mm,holes,hole_diams,min_hole_edge_mm,checks,_rel
КВЗ.ВКРН-5-ДВ.03.00.00.004,Ст3,2.0,4,147.9,192.0,0.0,1300.7,8,8.2 11.0,9.5,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.004 Кронштейн Ст3  4 шт.dxf"
КВЗ.ВКРН-5-ДВ.03.00.00.002,Ст3,2.0,4,439.02,93.05,0.0,1921.8,7,8.2,10.9,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.002 Ребро Ст3 4шт.dxf"
КВЗ.ВКРН,Ст3,5.0,4,34.0,34.0,0.0,144.5,2,12.0 34.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 5.0мм,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.06.00.00.000 Екран/DXF/5мм КВЗ.ВКРН(-В)-5-ДУ.01.002 Фланець Ст3 4шт.dxf"
КВЗ.ВКРН,Ст3,5.0,1,750.62,750.62,0.0,4907.2,41,11.0 12.0 14.5 70.0,4.5,HOLE_NEAR_EDGE: отверстие 4.5мм от края < толщины 5.0мм,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.06.00.00.000 Екран/DXF/5мм КВЗ.ВКРН(-В)-5-ДУ.01.001 Екран Ст3 1шт.dxf"
КВЗ.ВКРН,Ст3,2.0,4,290.0,53.05,0.0,1139.7,3,14.5,19.27,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.06.00.00.000 Екран/DXF/2мм КВЗ.ВКРН(-В)-5-ДУ.01.004  Ребро Ст3  4шт.dxf"
КВЗ.ВКРН-5-ДВ.06.001.00.102,Ст,2.0,1,13.07,13.34,93.4,79.7,1,2.0,5.12,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/2мм Ст.3 1шт. КВЗ.ВКРН-5-ДВ.06.001.00.102 Крильчатка двигуна.dxf
КВЗ.ВКРН-5-ДВ.04.00.00.002,Ст3,1.5,1,590.0,590.0,0.0,3787.2,10,21.0 350.0 590.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 1.5мм,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.04.00.00.000Дифузор/1,5мм КВЗ.ВКРН-5-ДВ.04.00.00.002 Дифузор Ст3 1шт.dxf"
КВЗ.ВКРН-5-ДВ.04.00.00.002,Ст3,1.2,1,746.7,981.68,140138.1,2667.2,0,,,OPEN_CONTOUR:15 незамкнутых контура(ов),"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.04.00.00.000Дифузор/1,2мм КВЗ.ВКРН-5-ДВ.04.00.00.002 Конус Ст3 1шт.dxf"
КВЗ.ВКРН-5-ДВ.01.01.00.001,09Г2С,3.0,1,505.0,505.0,0.0,2558.5,2,75.0 505.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 3.0мм,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/3мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.001 Диск нижній.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.004,09Г2С,2.0,1,180.0,13.0,0.0,770.1,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/2мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.004 4шт.-Ребро.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.003,09Г2С,3.0,1,152.92,124.96,0.0,866.8,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/3мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.003 L 12шт.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.003,09Г2С,3.0,1,124.96,152.92,0.0,826.5,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/3мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.003 R  12шт.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.002,09Г2С,2.0,1,621.03,637.75,0.0,951.3,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/2мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.002 Диск верхній 1шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.002,Zn,2.0,4,439.02,93.05,0.0,1921.8,7,8.2,10.9,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.002 Ребро Zn 4шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.003,Zn,2.0,4,590.22,257.79,0.0,1992.0,4,8.2 11.0,60.12,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.003 Бокова пластина Zn 4шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.001,Zn,4.0,1,766.1,766.1,0.0,6484.5,21,8.2 13.0 505.0,41.58,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/4мм КВЗ.ВКРН-5-ДВ.03.00.00.001 Основа Zn 1шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.004,Zn,2.0,4,147.9,192.0,0.0,1300.7,8,8.2 11.0,9.5,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.004 Кронштейн Zn  4 шт.dxf
КВЗ.ВР-4-75-5-ДВ.06.00.00.003,Ст3,4.0,1,590.0,590.0,6.9,2690.8,14,8.5 9.0 130.0 590.0,0.0,OPEN_CONTOUR:18 незамкнутых контура(ов) HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 4.0мм,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/4мм КВЗ.ВР-4-75-5-ДВ.06.00.00.003 Тепловий екран СТ3  1Шт.dxf
КВЗ.ВР-4-75-5-ДВ.06.00.00.003,Zn,2.0,1,590.0,590.0,420.0,2788.7,10,8.5 110.0 590.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 2.0мм,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/2мм КВЗ.ВР-4-75-5-ДВ.06.00.00.003 Тепловий екран ZN  1Шт.dxf
КВЗ.ВКРН-5-ДВ.06.001.00.002,Zn,16.0,16,34.0,34.0,0.0,144.5,2,12.0 34.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 16.0мм,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/16мм КВЗ.ВКРН-5-ДВ.06.001.00.002 Фланець ZN  16Шт..dxf
КВЗ.ВКРН,Zn,5.0,1,750.62,750.62,529661.7,4463.6,37,8.4 11.0 12.0 14.5 70.0,4.5,OPEN_CONTOUR:17 незамкнутых контура(ов) HOLE_NEAR_EDGE: отверстие 4.5мм от края < толщины 5.0мм,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/5мм КВЗ.ВКРН(-В)-5-ДУ.01.001 Екран Zn 1шт.dxf
КВЗ.ВКРН-5-ДВ.02.00.00.002,Zn,2.0,4,443.05,173.18,0.0,1763.2,8,4.9,8.05,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.002 Основа Zn 4шт..dxf
КВЗ.ВКРН-5-ДВ.02.00.00.001,Zn,2.0,8,369.8,263.99,0.0,1935.2,5,4.0 4.9,7.55,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.001 Боковина Zn 8шт.dxf
КВЗ.ВКРН-5-ДВ.02.00.00.004,Zn,2.0,8,300.0,131.52,0.0,1266.6,4,4.9,3.55,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.004 Боковина Zn 8шт.dxf
КВЗ.ВКРН-5-ДВ.02.00.00.005,Zn,2.0,4,456.05,361.4,0.0,2071.2,10,4.0 4.9,8.5,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.02.00.00.000 Вентеляційни карман/DXF/2ммКВЗ.ВКРН-5-ДВ.02.00.00.005 рама Zn 4 шт.dxf
КВЗ.ВКРН,Zn,2.0,1,496.65,496.65,193180.6,3165.7,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН(-В)-5-ДУ.05.003 Кришка Zn 1Шт.dxf
КВЗ.ВКРН-5-ДВ.05.00.00.002,Zn,2.0,2,570.0,372.16,0.0,2351.0,17,4.9 5.9 14.5,5.93,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.002 Ребро Zn 2Шт.dxf
КВЗ.ВКРН-5-ДВ.05.00.00.001,Zn,2.0,2,758.67,391.8,14519.8,2459.9,7,5.9 14.5,5.93,OPEN_CONTOUR:1 незамкнутых контура(ов),вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВКРН-5-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.001 Ребро Zn 2Шт.dxf
КВЗ.ВР-4-75-5-ДВ.01.00.01.001,Ст3,2.0,1,104.11,103.16,6553.1,755.2,1,45.0,27.5,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВР-4-75-5-ДВ.01.00.00.000 Колесо робоче/2мм КВЗ.ВР-4-75-5-ДВ.01.00.01.001 Крильчатка охолодження Ст3 1Шт..dxf
КВЗ.ВР-4-75-5-ДВ.01.02.00.001,Ст3,10.0,1,116.93,118.95,8418.7,847.7,1,60.0,27.56,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВР-4-75-5-ДВ.01.00.00.000 Колесо робоче/КВЗ.ВР-4-75-5-ДВ.01.02.00.000 Ступиця Сх.1(циліндр)/10 мм КВЗ.ВР-4-75-5-ДВ.01.02.00.001  Ст3 1шт.dxf
КВЗ.ВР-4-75-5-ДВ.01.01.00.001Д,Ст3,4.0,1,505.0,505.0,0.0,2251.2,2,110.3 505.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 4.0мм,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВР-4-75-5-ДВ.01.00.00.000 Колесо робоче/КВЗ.ВР-4-75-5-ДВ.01.01.00.000 Колесо робоче/4мм КВЗ.ВР-4-75-5-ДВ.01.01.00.001Диск нижній Ст3 1Шт..dxf
КВЗ.ВР-4-75-5-ДВ.01.01.00.003,Ст3,4.0,12,125.06,152.43,0.0,881.5,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВР-4-75-5-ДВ.01.00.00.000 Колесо робоче/КВЗ.ВР-4-75-5-ДВ.01.01.00.000 Колесо робоче/4мм КВЗ.ВР-4-75-5-ДВ.01.01.00.003 R Лопатка Ст3 12Шт..dxf
КВЗ.ВР-4-75-5-ДВ.01.01.00.004,Ст3,2.0,1,350.6,350.6,0.0,1696.8,2,75.6 350.6,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 2.0мм,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВР-4-75-5-ДВ.01.00.00.000 Колесо робоче/КВЗ.ВР-4-75-5-ДВ.01.01.00.000 Колесо робоче/2мм КВЗ.ВР-4-75-5-ДВ.01.01.00.004 Конус жорсткості Ст3 1Шт..dxf
КВЗ.ВР-4-75-5-ДВ.01.01.00.002,Ст3,4.0,1,618.59,635.25,0.0,963.7,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5/КВЗ.ВР-4-75-5-ДВ.01.00.00.000 Колесо робоче/КВЗ.ВР-4-75-5-ДВ.01.01.00.000 Колесо робоче/4мм КВЗ.ВР-4-75-5-ДВ.01.01.00.002 Диск верхній (розгортка) Ст3 1Шт..dxf
КВЗ.ВКРН-5-ДВ.02.00.00.001,Ст3,2.0,8,369.8,263.99,0.0,1935.2,5,4.0 4.9,7.55,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.001 Боковина Ст3 8шт.dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.004,Ст3,2.0,8,300.0,131.52,0.0,1266.6,4,4.9,3.55,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.004 Боковина Ст3 8шт.dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.002,Ст3,2.0,4,443.05,173.18,0.0,1763.2,8,4.9,8.05,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.002 Основа Ст3 4шт..dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.005,Ст3,2.0,4,456.05,361.4,0.0,2071.2,10,4.0 4.9,8.5,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2ммКВЗ.ВКРН-5-ДВ.02.00.00.005 рама Ст3 4 шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.002,Ст3,2.0,2,570.0,372.16,0.0,2351.0,17,4.9 5.9 14.5,5.93,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.002 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.001,Ст3,2.0,2,758.67,391.8,14519.8,2459.9,7,5.9 14.5,5.93,OPEN_CONTOUR:1 незамкнутых контура(ов),"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.001 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН,Ст3,2.0,1,427.52,427.52,0.0,2328.6,12,4.9,9.42,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН(-В)-5-ДУ.05.003 Кришка Ст3 1Шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.002,Ст3,2.0,2,570.0,372.16,0.0,2351.0,17,4.9 5.9 14.5,5.93,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.002 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.001,Ст3,2.0,2,758.67,391.8,14519.8,2459.9,7,5.9 14.5,5.93,OPEN_CONTOUR:1 незамкнутых контура(ов),"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.001 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН,Ст3,2.0,1,427.52,427.52,0.0,2328.6,12,4.9,9.42,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН(-В)-5-ДУ.05.003 Кришка Ст3 1Шт.dxf"
КВЗ.ВКРН-5-ДВ.03.00.00.003,Ст3,2.0,4,590.22,257.79,0.0,1992.0,4,8.2 11.0,60.12,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.003 Бокова пластина Ст3 4шт.dxf"
КВЗ.ВКРН-5-ДВ.03.00.00.001,Ст3,4.0,1,766.1,766.1,0.0,6484.5,21,8.2 13.0 505.0,41.58,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/4мм КВЗ.ВКРН-5-ДВ.03.00.00.001 Основа Ст3 1шт.dxf"
КВЗ.ВКРН-5-ДВ.03.00.00.004,Ст3,2.0,4,147.9,192.0,0.0,1300.7,8,8.2 11.0,9.5,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.004 Кронштейн Ст3  4 шт.dxf"
КВЗ.ВКРН-5-ДВ.03.00.00.002,Ст3,2.0,4,439.02,93.05,0.0,1921.8,7,8.2,10.9,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.002 Ребро Ст3 4шт.dxf"
КВЗ.ВКРН,Ст3,5.0,4,34.0,34.0,0.0,144.5,2,12.0 34.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 5.0мм,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.06.00.00.000 Екран/DXF/5мм КВЗ.ВКРН(-В)-5-ДУ.01.002 Фланець Ст3 4шт.dxf"
КВЗ.ВКРН,Ст3,5.0,1,750.62,750.62,0.0,4907.2,41,11.0 12.0 14.5 70.0,4.5,HOLE_NEAR_EDGE: отверстие 4.5мм от края < толщины 5.0мм,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.06.00.00.000 Екран/DXF/5мм КВЗ.ВКРН(-В)-5-ДУ.01.001 Екран Ст3 1шт.dxf"
КВЗ.ВКРН,Ст3,2.0,4,290.0,53.05,0.0,1139.7,3,14.5,19.27,OK,"вкрн каталог/ВКРН (-В)- ДУ/№5,6/КВЗ.ВКРН-5,6-ДВ.06.00.00.000 Екран/DXF/2мм КВЗ.ВКРН(-В)-5-ДУ.01.004  Ребро Ст3  4шт.dxf"
КВЗ.ВКРН-5-ДВ.06.001.00.102,Ст,2.0,1,13.07,13.34,93.4,79.7,1,2.0,5.12,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/2мм Ст.3 1шт. КВЗ.ВКРН-5-ДВ.06.001.00.102 Крильчатка двигуна.dxf
КВЗ.ВКРН-5-ДВ.04.00.00.002,Ст3,1.5,1,590.0,590.0,0.0,3787.2,10,21.0 350.0 590.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 1.5мм,"вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.04.00.00.000Дифузор/1,5мм КВЗ.ВКРН-5-ДВ.04.00.00.002 Дифузор Ст3 1шт.dxf"
КВЗ.ВКРН-5-ДВ.04.00.00.002,Ст3,1.2,1,746.7,981.68,140138.1,2667.2,0,,,OPEN_CONTOUR:15 незамкнутых контура(ов),"вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.04.00.00.000Дифузор/1,2мм КВЗ.ВКРН-5-ДВ.04.00.00.002 Конус Ст3 1шт.dxf"
КВЗ.ВКРН-5-ДВ.01.01.00.001,09Г2С,3.0,1,505.0,505.0,0.0,2558.5,2,75.0 505.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 3.0мм,вкрн каталог/ВКРН (-В)- ДУ/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/3мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.001 Диск нижній.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.004,09Г2С,2.0,1,180.0,13.0,0.0,770.1,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/2мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.004 4шт.-Ребро.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.003,09Г2С,3.0,1,152.92,124.96,0.0,866.8,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/3мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.003 L 12шт.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.003,09Г2С,3.0,1,124.96,152.92,0.0,826.5,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/3мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.003 R  12шт.dxf
КВЗ.ВКРН-5-ДВ.01.01.00.002,09Г2С,2.0,1,621.03,637.75,0.0,951.3,0,,,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/!Архів/КВЗ.ВКРН-5-ДВ.01.00.00.000 Робоче колесо/DXF/2мм 09Г2С 1шт КВЗ.ВКРН-5-ДВ.01.01.00.002 Диск верхній 1шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.002,Zn,2.0,4,439.02,93.05,0.0,1921.8,7,8.2,10.9,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.002 Ребро Zn 4шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.003,Zn,2.0,4,590.22,257.79,0.0,1992.0,4,8.2 11.0,60.12,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.003 Бокова пластина Zn 4шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.001,Zn,4.0,1,766.1,766.1,0.0,6484.5,21,8.2 13.0 505.0,41.58,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/4мм КВЗ.ВКРН-5-ДВ.03.00.00.001 Основа Zn 1шт.dxf
КВЗ.ВКРН-5-ДВ.03.00.00.004,Zn,2.0,4,147.9,192.0,0.0,1300.7,8,8.2 11.0,9.5,OK,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.004 Кронштейн Zn  4 шт.dxf
КВЗ.ВР-4-75-5-ДВ.06.00.00.003,Ст3,4.0,1,590.0,590.0,6.9,2690.8,14,8.5 9.0 130.0 590.0,0.0,OPEN_CONTOUR:18 незамкнутых контура(ов) HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 4.0мм,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/4мм КВЗ.ВР-4-75-5-ДВ.06.00.00.003 Тепловий екран СТ3  1Шт.dxf
КВЗ.ВР-4-75-5-ДВ.06.00.00.003,Zn,2.0,1,590.0,590.0,420.0,2788.7,10,8.5 110.0 590.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 2.0мм,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/2мм КВЗ.ВР-4-75-5-ДВ.06.00.00.003 Тепловий екран ZN  1Шт.dxf
КВЗ.ВКРН-5-ДВ.06.001.00.002,Zn,16.0,16,34.0,34.0,0.0,144.5,2,12.0 34.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 16.0мм,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/16мм КВЗ.ВКРН-5-ДВ.06.001.00.002 Фланець ZN  16Шт..dxf
КВЗ.ВКРН,Zn,5.0,1,750.62,750.62,529661.7,4463.6,37,8.4 11.0 12.0 14.5 70.0,4.5,OPEN_CONTOUR:17 незамкнутых контура(ов) HOLE_NEAR_EDGE: отверстие 4.5мм от края < толщины 5.0мм,вкрн каталог/ВКРН (-В)- ДУ/№5/КВЗ.ВКРН-5-ДВ.06.00.00.000 екран/5мм КВЗ.ВКРН(-В)-5-ДУ.01.001 Екран Zn 1шт.dxf
