designation,material,thickness_mm,qty,width_mm,height_mm,area_mm2,cut_length_mm,holes,hole_diams,min_hole_edge_mm,checks,_rel
ДН-26.02.01.00.001,ст09Г2С,10.0,1,970.0,374.67,363432.4,2689.3,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 1шт. ДН-26.02.01.00.001 Язик спірали корпуса.dxf
ДН-26.02.01.05.004,ст09Г2С,4.0,2,260.0,113.29,10642.7,827.6,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/4мм ст09Г2С 2шт. ДН-26.02.01.05.004 Ручка люка.dxf
ДН-26.02.01.00.017,ст09Г2С,10.0,1,717.0,108.0,68875.0,1763.0,1,50.0,25.0,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 1шт. ДН-26.02.01.00.017 Ребро.dxf
ДН-26.02.01.01.001-01,ст09Г2С,10.0,2,1999.1,845.95,1659279.9,5952.5,3,20.0 62.0,79.93,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.01.001-01(ч.2) Стінка корпуса верхня частина.dxf
ДН-26.02.01.00.018,ст09Г2С,10.0,2,86.53,80.0,3919.0,285.7,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.00.018 Ребро фланця роз'єму.dxf
ДН-26.02.01.00.014,ст09Г2С,10.0,5,1190.0,110.0,126060.0,2843.9,2,50.0,30.0,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 5шт. ДН-26.02.01.00.014.dxf
ДН-26.02.01.05.003,ст09Г2С,16.0,1,610.0,610.0,372100.0,2440.0,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/16мм ст09Г2С 1шт. ДН-26.02.01.05.003 Полотно люка.dxf
ДН-26ФК.03.023.07,ст09Г2С,16.0,4,990.0,80.0,79200.0,2378.8,4,19.0,30.5,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/16мм ст09Г2С 4шт. ДН-26ФК.03.023.07 Фланец разьема.dxf
ДН-26.02.01.01.013,ст09Г2С,10.0,2,1056.0,108.0,104075.4,2308.1,0,,,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.01.013 Ребро.dxf
ДН-26.02.01.04.003,ст09Г2С,10.0,2,2169.91,1075.0,200.0,5906.2,12,32.0,37.85,OK,ДН-26.02.01.00.000 СК Корпус верхня частина/10мм ст09Г2С 2шт. ДН-26.02.01.04.003 Кришка.dxf
КВЗ.ВКРН,Ст3,5.0,4,34.0,34.0,0.0,144.5,2,12.0 34.0,0.0,HOLE_NEAR_EDGE: отверстие 0.0мм от края < толщины 5.0мм,"вкрн каталог/ВКРН (-В)- ДУ/№6,3/КВЗ.ВКРН-6,3-ДВ.06.00.00.000 Екран/DXF/5мм КВЗ.ВКРН(-В)-5-ДУ.01.002 Фланець Ст3 4шт.dxf"
КВЗ.ВКРН,Ст3,5.0,1,750.62,750.62,0.0,4907.2,41,11.0 12.0 14.5 70.0,4.5,HOLE_NEAR_EDGE: отверстие 4.5мм от края < толщины 5.0мм,"вкрн каталог/ВКРН (-В)- ДУ/№6,3/КВЗ.ВКРН-6,3-ДВ.06.00.00.000 Екран/DXF/5мм КВЗ.ВКРН(-В)-5-ДУ.01.001 Екран Ст3 1шт.dxf"
КВЗ.ВКРН,Ст3,2.0,4,290.0,53.05,0.0,1139.7,3,14.5,19.27,OK,"вкрн каталог/ВКРН (-В)- ДУ/№6,3/КВЗ.ВКРН-6,3-ДВ.06.00.00.000 Екран/DXF/2мм КВЗ.ВКРН(-В)-5-ДУ.01.004  Ребро Ст3  4шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.002,Ст3,2.0,2,570.0,372.16,0.0,2351.0,17,4.9 5.9 14.5,5.93,OK,"вкрн каталог/ВКРН (-В)- ДУ/№6,3/КВЗ.ВКРН-6,3-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.002 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.001,Ст3,2.0,2,758.67,391.8,14519.8,2459.9,7,5.9 14.5,5.93,OPEN_CONTOUR:1 незамкнутых контура(ов),"вкрн каталог/ВКРН (-В)- ДУ/№6,3/КВЗ.ВКРН-6,3-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.001 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН,Ст3,2.0,1,427.52,427.52,0.0,2328.6,12,4.9,9.42,OK,"вкрн каталог/ВКРН (-В)- ДУ/№6,3/КВЗ.ВКРН-6,3-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН(-В)-5-ДУ.05.003 Кришка Ст3 1Шт.dxf"
